# id	description
ls	Listaa hakemiston sisältö
fallocate	Varaa tilaa tiedostolle etukäteen
readlink	Tulosta symbolisen linkin arvo
readlink-f	Vakiota polku seuraamalla symboleja linkkejä
grep	Etsi tekstiä tiedostojen sisällöstä
grep-r	Etsi rekursiivisesti hakemistoista
grep-i	Kirjainkoosta välittämätön haku
grep-v	Käännä haku, näytä ei-täsmäävät rivit
grep-c	Näytä konteksti osuman ympärillä
grep-n	Näytä rivinumerot osumien kanssa
grep-l	Listaa vain osumia sisältävät tiedostonimet
grep-w	Täsmää vain kokonaisiin sanoihin
grep-x	Täsmää vain kokonaisiin riveihin
grep-o	Näytä vain täsmäävä osa
grep-a	Näytä rivit osuman jälkeen
grep-b	Näytä rivit ennen osumaa
grep-c-2	Näytä konteksti osuman ympärillä
grep-e	Käytä laajennettua regexiä
grep-p	Käytä Perl-yhteensopivaa regexiä
grep-q	Hiljainen tila, vain poistumiskoodi
grep-s	Piilota virheilmoitukset
grep-color	Korosta osumia
grep-m	Pysähdy N osuman jälkeen
grep-f	Lue mallit tiedostosta
egrep	Laajennettu grep (sama kuin grep -E)
fgrep	Kiinteän merkkijonon grep (sama kuin grep -F)
sed	Virtamuokkain tekstin suodatukseen ja muuntamiseen
sed-i	Muokkaa tiedostoja paikan päällä
sed-n	Estä automaattinen tulostus
sed-s	Korvaa tekstimalli
sed-e	Määritä useita lausekkeita
sed-f	Lue skripti tiedostosta
sed-r	Käytä laajennettua regexiä
awk	Mallien skannaus- ja tekstinkäsittelykieli
awk-f	Aseta syötekentän erotin
awk-print	Tulosta tietyt kentät
awk-pattern	Tulosta mallia vastaavat rivit
awk-v	Välitä muuttuja awk-skriptiin
awk-begin	Suorita ennen tiedoston käsittelyä
awk-end	Suorita tiedoston käsittelyn jälkeen
cut	Poista osioita tiedoston jokaiselta riviltä
cut-d	Leikkaa käyttäen mukautettua erotinta
cut-f	Valitse tietyt kentät
cut-c	Valitse tietyt merkit
cut-complement	Täydennä valinta
sort	Järjestä tekstitiedostojen rivit
sort-r	Järjestä käänteiseen järjestykseen
sort-n	Järjestä numeerisesti
sort-k	Järjestä avaimen/sarakkeen mukaan
sort-u	Järjestä ja tulosta ainutkertaiset rivit
sort-t	Määritä kenttäerotin
sort-h	Helppolukuinen numeerinen järjestys
sort-v	Versionumeron mukainen järjestys
uniq	Suodata vierekkäiset kaksoiskappaleet
uniq-c	Laske kunkin rivin esiintymät
uniq-d	Näytä vain kaksoiskappalerivit
uniq-u	Näytä vain ainutkertaiset rivit
uniq-i	Kirjainkoosta välittämätön vertailu
wc	Laske rivit, sanat ja merkit
wc-l	Laske vain rivit
wc-w	Laske vain sanat
wc-c	Laske tavut
wc-m	Laske merkit
head	Näytä tiedoston ensimmäiset rivit
head-n	Näytä ensimmäiset N riviä
head-c	Näytä ensimmäiset N tavua
head-q	Älä koskaan tulosta otsikoita
tail	Näytä tiedoston viimeiset rivit
tail-n	Näytä viimeiset N riviä
tail-f	Seuraa uudelleenyrityksellä kierron jälkeen
tail-f-2	Seuraa uudelleenyrityksellä kierron jälkeen
tail-q	Piilota otsikot
tail-c	Näytä viimeiset N tavua
diff	Vertaa tiedostoja rivi riviltä
diff-u	Yhdistetty diff-muoto
diff-y	Rinnakkainen vertailu
diff-r	Vertaa hakemistoja rekursiivisesti
diff-q	Näytä vain eroavatko tiedostot
diff-i	Ohita kirjainkokoerot
diff-w	Ohita välilyöntierot
diff-n	Käsittele puuttuvat tiedostot tyhjinä
diff-color	Värillinen tuloste
sdiff	Rinnakkainen diff
cmp	Vertaa kahta tiedostoa tavu tavulta
cmp-l	Näytä eroavat tavupaikat
comm	Vertaa järjestettyjä tiedostoja rivi riviltä
comm-1	Piilota ensimmäinen sarake
comm-2	Piilota toinen sarake
comm-3	Piilota kolmas sarake
tr	Käännä tai poista merkkejä
tr-d	Poista määritetyt merkit
tr-s	Tiivistä toistuvat merkit
tr-c	Käytä merkistön komplementtia
tee	Lue syötteestä ja kirjoita tulosteeseen ja tiedostoihin
tee-a	Lisää tiedostoihin ylikirjoituksen sijaan
tee-i	Ohita keskeytyssignaalit
fold	Rivitä syöterivit haluttuun leveyteen
fold-w	Aseta rivityksen leveys
fold-s	Katkaise välilyönneistä
expand	Muunna sarkaimet välilyönneiksi
expand-t	Aseta sarkaimen koko
unexpand	Muunna välilyönnit sarkaimiksi
unexpand-a	Muunna kaikki välilyönnit
nl	Numeroi tiedostojen rivit
nl-ba	Numeroi kaikki rivit myös tyhjät
nl-n	Aseta rivinumeron muoto
od	Näytä tiedostot oktaali- ja muissa muodoissa
od-a	Aseta osoitemuoto
od-t	Aseta tulostetyypin muoto
hexdump	Näytä tiedoston sisältö heksadesimaalina
hexdump-c	Kanooninen heksa+ASCII-näyttö
hexdump-n	Näytä vain N tavua
xxd	Tee heksatuloste tai palauta
xxd-r	Palauta heksatuloste
xxd-p	Pelkkä heksatuloste
rev	Käänteinen jokainen rivi merkki kerrallaan
seq	Tulosta numerosarja
seq-s	Aseta erotin
seq-w	Yhtä leveä täyte
shuf	Luo satunnaisia permutaatioita
shuf-n	Tulosta N satunnaista riviä
shuf-e	Käsittele argumentit syöteriveinä
shuf-r	Salli toistuva tuloste
xargs	Rakenna ja suorita komentorivejä syötteestä
xargs-n	Rajoita argumentteja per komento
xargs-i	Korvaa merkkijono komennossa
xargs-p	Suorita komentoja rinnakkain
xargs-0	Lue nollalla eroteltu syöte
xargs-r	Älä suorita jos syöte on tyhjä
pr	Muunna tekstitiedostot tulostukseen
pr-2	Kaksipalstainen tuloste
paste	Yhdistä tiedostojen rivejä
paste-d	Käytä mukautettua erotinta
paste-s	Sarjallista kaikki rivit
join	Yhdistä kahden tiedoston rivit yhteisellä kentällä
join-t	Aseta kenttäerotin
join-1	Yhdistä ensimmäisen tiedoston kentällä
look	Näytä rivit, jotka alkavat annetulla merkkijonolla
fmt	Yksinkertainen optimaalinen tekstinmuotoilija
fmt-w	Aseta rivin maksimileveys
fmt-u	Tasainen välitys
strings	Etsi tulostettavia merkkijonoja binääritiedostoista
strings-n	Merkkijonon vähimmäispituus
strings-t	Näytä merkkijonon sijainti
iconv	Muunna tekstiä merkistökoodausten välillä
iconv-f	Määritä lähdemerkistö
iconv-t	Määritä kohdemerkistö
iconv-l	Listaa tunnetut merkistöt
recode	Muunna tiedoston merkistöjä
less	Näytä tiedoston sisältö sivu kerrallaan
less-n	Näytä rivinumerot
less-s	Katkaise pitkät rivit
less-i	Kirjainkoosta välittämätön haku
less-r	Tulosta raa'at ohjausmerkit
less-plusf	Seurantatila kuten tail -f
less-g	Korosta vain viimeinen hakuosumista
more	Näytä tiedoston sisältö sivu kerrallaan
more-s	Tiivistä tyhjät rivit
more-plus-pattern	Aloita tietystä kohdasta
echo	Näytä tekstirivi
echo-n	Tulosta ilman rivinvaihtoa
echo-e	Tulkitse escape-sekvenssit
printf	Muotoile ja tulosta dataa
printf-s	Tulosta muotoiltu merkkijono
printf-d	Tulosta muotoiltu kokonaisluku
printf-x	Tulosta heksadesimaaliluku
column	Palstoita listat
column-t	Luo tasattu taulukko
column-s	Määritä sarake-erotin
column-x	Täytä sarakkeet ennen rivejä
tsort	Topologinen järjestys
curl	Siirrä tietoa URL-osoitteesta tai siihen
curl-o	Lataa käyttäen etätiedoston nimeä
curl-l	Seuraa uudelleenohjauksia
curl-i	Nouda vain otsikot
curl-s	Näytä virheet hiljaisessa tilassa
curl-s-2	Näytä virheet hiljaisessa tilassa
curl-o-2	Lataa käyttäen etätiedoston nimeä
curl-c	Jatka keskeytynyttä latausta
curl-u	Anna käyttäjänimi tunnistautumista varten
curl-h	Lisää mukautettu otsake
curl-d	Lähetä POST-dataa
curl-x	Määritä HTTP-metodi
curl-k	Salli epäturvallinen SSL
curl-v	Yksityiskohtainen tuloste
curl-data-urlencode	URL-koodaa POST-data
curl-limit-rate	Rajoita latausnopeutta
wget	Ei-vuorovaikutteinen verkkolataaja
wget-o	Kirjoita ladattu data tiedostoon
wget-c	Jatka keskeneräistä latausta
wget-q	Hiljainen tila lataukselle
wget-p	Lataa tiettyyn hakemistoon
wget-r	Rekursiivinen lataus
wget-np	Ei ylähakemistoja
wget-l	Rekursion syvyysrajoitus
wget-m	Peilaa verkkosivusto
wget-nv	Ei-yksityiskohtainen tuloste
ssh	OpenSSH etäkirjautumisasiakas
ssh-i	SSH käyttäen identiteettitiedostoa
ssh-p	SSH tietyllä portilla
ssh-j	SSH-hyppypalvelin
ssh-x	Ota X11-välitys käyttöön
ssh-y	Ota luotettu X11-välitys käyttöön
ssh-n	Älä suorita etäkomentoa
ssh-f	Siirry taustalle tunnistautumisen jälkeen
ssh-v	Yksityiskohtainen SSH-tuloste
ssh-keygen	Luo SSH-avainpari
ssh-copy-id	Asenna SSH-julkinen avain
ssh-add	Lisää avain SSH-agentille
ssh-agent	SSH-tunnistautumisagentti
scp	Turvallinen kopiointi SSH:n yli
scp-p	Määritä portti SCP:lle
scp-r	Rekursiivinen SCP
scp-c	Ota pakkaus käyttöön
sftp	SSH-tiedostonsiirtoprotokolla
sftp-p	Määritä SFTP-portti
ftp	Tiedostonsiirtoprotokollan asiakasohjelma
ftp-i	Poista vuorovaikutteinen tila käytöstä
nc	Mielivaltaiset TCP- ja UDP-yhteydet
nc-l	Kuuntele saapuvaa yhteyttä
nc-v	Yksityiskohtainen tuloste
nc-z	Skannaa avoimia portteja
nc-u	Käytä UDP:tä
nc-w	Yhteyden aikakatkaisu
netstat	Verkkotilastot ja yhteydet
netstat-tuln	Näytä kuuntelevat portit
netstat-a	Näytä kaikki socketit
netstat-p	Näytä socketia käyttävä prosessi
netstat-r	Näytä reititystaulu
netstat-s	Näytä protokollakohtaiset tilastot
ss	Sokettitilastotyökalu
ss-t	Näytä TCP-socketit
ss-u	Näytä UDP-socketit
ss-l	Näytä kuuntelevat socketit
ss-p	Näytä socketia käyttävä prosessi
ss-n	Näytä numeeriset osoitteet
ss-s	Näytä socket-yhteenveto
ping	Testaa verkkoyhteyttä isäntään
ping-c	Pingaa tietyllä määrällä
ping-i	Pingaa aikavälillä
ping-s	Aseta paketin koko
ping-4	Pakota IPv4
ping-6	Pakota IPv6
traceroute	Jäljitä verkkopolku isäntään
traceroute-n	Traceroute numeerisella tulosteella
traceroute-m	Aseta enimmäishypyt
traceroute-w	Aseta odotusaika
traceroute-i	Käytä ICMP:tä UDP:n sijaan
mtr	Verkkodiagnostiikkatyökalu, yhdistää pingin ja tracerouten
mtr-r	Raportointitila
mtr-c	Aseta ping-määrä
dig	DNS-hakutyökalu
dig-x	Käänteinen DNS-haku
dig-plusshort	Lyhyt vastaus
dig-plustrace	Jäljitä DNS-delegointi
dig-server	Kysy tiettyä DNS-palvelinta
dig-any	Kysy kaikkia tietuetyyppejä
dig-mx	Kysy sähköpostinvaihtotietueita
nslookup	Kysy DNS-nimipalvelimia
host	DNS-hakutyökalu
host-t	Kysy tiettyä tietuetyyppiä
host-a	Kysy kaikkia tietueita
nmap	Verkkokartoitus ja -skannaus
nmap-ss	SYN-salaskannaus
nmap-sv	Version tunnistusskannaus
nmap-st	TCP-yhteyskannaus
nmap-su	UDP-skannaus
nmap-o	Käyttöjärjestelmän tunnistus
nmap-p	Skannaa tiettyjä portteja
nmap-a	Aggressiivinen skannaus
nmap-v	Yksityiskohtainen tuloste
nmap-sn	Ping-skannaus
nmap-top-ports	Skannaa N yleisintä porttia
iptables	IPv4-palomuurisääntöjen hallinta
iptables-l	Listaa nykyiset palomuurisäännöt
iptables-a	Lisää sääntö
iptables-d	Poista sääntö
iptables-p	Aseta oletuskäytäntö
iptables-f	Tyhjennä kaikki säännöt
iptables-s	Määritä lähdeosoite
iptables-j	Määritä kohdehypppy
ip	Näytä ja hallitse reitityslaitteita
ip-addr	Näytä IP-osoitteet
ip-link	Hallitse verkkoliittymiä
ip-route	Näytä reititystaulu
ip-neigh	Näytä naapuri-/ARP-taulu
ip-s	Näytä tilastot
ip-c	Värillinen tuloste
ip-link-set	Muuta liittymän tilaa
ip-route-add	Lisää reitti
ifconfig	Määritä verkkoliittymiä
ifconfig-a	Näytä kaikki liittymät
route	Näytä ja hallitse IP-reititystaulua
route-n	Numeerinen reititystaulu
arp	Hallitse ARP-välimuistia
arp-a	Näytä kaikki ARP-merkinnät
arp-d	Poista ARP-merkintä
iwconfig	Määritä langattomia verkkoliittymiä
iwconfig-a	Näytä kaikki langattomat liittymät
whois	Kysy verkkotunnuksen rekisteröintitietoja
telnet	Käyttöliittymä TELNET-protokollalle
elinks	Tekstipohjainen verkkoselain
links	Tekstitilainen verkkoselain
lynx	Komentorivipohjainen verkkoselain
httpie	HTTP-asiakas JSON-tuella
http	Yksinkertainen HTTP-asiakas (httpie)
socat	Kaksisuuntainen tiedonsiirto stdion kautta
socat-tcp-listen	Kuuntele TCP-porttia
socat-unix-connect	Yhdistä Unix-socketiin
ps	Listaa käynnissä olevat prosessit
ps-aux	Listaa kaikki käynnissä olevat prosessit yksityiskohtineen
ps-ef	Listaa täydellinen prosessilistaus
ps-u	Listaa prosessit käyttäjän mukaan
ps-c	Listaa prosessit komennon nimen mukaan
ps-o	Mukautettu tulostemuoto
ps-sort	Järjestä prosessilista
ps-l	Listaa säikeet
ps-forest	Näytä prosessipuu
top	Näytä reaaliaikaisia prosessitietoja
top-u	Näytä prosessit tietylle käyttäjälle
top-p	Tarkkaile tiettyjä PIDejä
top-b	Erätila
top-n	Päivitysten määrä erätilassa
htop	Vuorovaikutteinen prosessikatselin
htop-p	Tarkkaile tiettyjä PIDejä
htop-u	Näytä prosessit käyttäjälle
htop-t	Puunäkymä
kill	Lähetä signaali prosessille
kill-9	Päätä prosessi väkisin
kill-15	Päätä prosessi hallitusti
kill-1	Katkaisusignaali (lataa asetukset uudelleen)
kill-2	Keskeytyssignaali (Ctrl+C)
kill-3	Lopetussignaali
kill-stop	Pysäytä prosessi
kill-cont	Jatka pysäytettyä prosessia
killall	Tapa prosesseja nimellä
killall-9	Pakota tappamaan kaikki nimellä
killall-i	Vuorovaikutteinen tappo
killall-q	Hiljainen killall
pkill	Lähetä signaali prosesseille nimellä
pkill-f	Täsmää koko komentoriviin
pkill-u	Tapa käyttäjän prosessit
pgrep	Etsi prosesseja nimellä
pgrep-f	Täsmää koko komentoriviin
pgrep-u	Etsi käyttäjän mukaan
pgrep-l	Näytä prosessinimi PID:n kanssa
nice	Suorita ohjelma muokatulla prioriteetilla
nice-n	Määritä prioriteetin lisäys
renice	Muuta käynnissä olevan prosessin prioriteettia
renice-n	Muuta prioriteettia lisäyksellä
nohup	Suorita komento katkaisunkestävästi
nohup-out	Tulostetiedosto nohupille
bg	Jatka keskeytettyä työtä taustalla
fg	Tuo taustatyö etualalle
jobs	Listaa aktiiviset työt nykyisessä kuoressa
jobs-l	Näytä PID työlistauksessa
jobs-r	Näytä vain käynnissä olevat työt
jobs-s	Näytä vain pysäytetyt työt
disown	Poista töitä nykyisestä kuoresta
disown-h	Merkitse työ, jota ei tapeta uloskirjautumisella
wait	Odota prosessin valmistumista
wait-n	Odota seuraavan työn valmistumista
timeout	Suorita komento aikarajalla
timeout-k	Lähetä KILL jos SIGTERM ohitetaan
timeout-s	Määritä signaali
pidof	Etsi käynnissä olevan ohjelman PID
pidof-x	Etsi skriptin PID
lsof	Listaa avoimet tiedostot prosessin mukaan
lsof-i	Listaa verkkoyhteydet
lsof-u	Listaa tiedostot käyttäjän mukaan
lsof-p	Listaa tiedostot PID:n mukaan
lsof-plusd	Listaa avoimet tiedostot hakemistossa
fuser	Tunnista tiedostoja käyttävät prosessit
fuser-k	Tapa tiedostoa käyttävät prosessit
fuser-v	Yksityiskohtainen tuloste
strace	Jäljitä järjestelmäkutsuja ja signaaleja
strace-p	Liity käynnissä olevaan prosessiin
strace-e	Suodata tiettyjä järjestelmäkutsuja
strace-o	Kirjoita tuloste tiedostoon
strace-c	Laske järjestelmäkutsutilastot
strace-f	Jäljitä lapsiprosesseja
strace-t	Näytä aikaleimat
ltrace	Jäljitä kirjastokutsuja
ltrace-p	Liity prosessiin
ltrace-e	Suodata kirjastokutsuja
ltrace-s	Näytä myös järjestelmäkutsut
mpstat	Näytä suoritintilastot
mpstat-p-all	Suoritinkohtaiset tilastot
pwdx	Näytä prosessin työhakemisto
pmap	Näytä prosessin muistikartta
uptime	Kuinka kauan järjestelmä on ollut käynnissä
w	Näytä kuka on kirjautunut ja mitä he tekevät
uname	Tulosta järjestelmätiedot
uname-a	Tulosta kaikki järjestelmätiedot
uname-r	Tulosta ytimen julkaisuversio
uname-n	Tulosta verkkosolmun isäntänimi
uname-m	Tulosta koneen laitteistonimi
uname-s	Tulosta ytimen nimi
df	Näytä tiedostojärjestelmän levytilan käyttö
df-h	Helppolukuinen levytila
df-t	Näytä tiedostojärjestelmän tyyppi
df-i	Näytä inode-käyttö
df-x	Ohita tiedostojärjestelmätyyppi
df-total	Näytä summat
du	Arvioi tiedostojen levytilan käyttö
du-sh	Yhteenveto helppolukuisessa muodossa
du-h	Helppolukuiset koot
du-c	Kokonaissumma
du-max-depth	Rajoita hakemiston syvyyttä
du-a	Sisällytä tiedostot listaukseen
du-exclude	Ohita täsmäävät tiedostot
du-t	Näytä vain koko suuremmat merkinnät
free	Näytä muistin käyttö
free-h	Helppolukuinen muistin näyttö
free-m	Näytä megatavuina
free-g	Näytä gigatavuina
free-s	Toista aikavälillä
free-t	Näytä summat
lscpu	Näytä suorittimen arkkitehtuuritiedot
lscpu-e	Laajennetut suoritintiedot
lscpu-p	Jäsennettävä tuloste
lspci	Listaa kaikki PCI-laitteet
lspci-v	Yksityiskohtainen PCI-listaus
lspci-k	Näytä ydinajurit
lspci-nn	Näytä numeeriset IDt
lsblk	Listaa lohkolaitteet
lsblk-f	Näytä tiedostojärjestelmätiedot
lsblk-m	Näytä oikeudet
lsblk-l	Listausmuoto
lsusb	Listaa USB-laitteet
lsusb-v	Yksityiskohtaiset USB-tiedot
lsusb-t	Puumuoto keskittimien kanssa
lshw	Listaa laitteistokokoonpano
lshw-short	Lyhyt laitteistolistaus
lshw-class	Suodata laitteistoluokan mukaan
dmidecode	DMI-taulun purkaja laitteistotiedoille
dmidecode-t	Suodata tyypin mukaan
dmidecode-s	Näytä tietty merkkijono
dmesg	Tulosta ytimen rengaspuskuriviestit
dmesg-w	Seuraa ytimen viestejä reaaliajassa
dmesg-l	Suodata lokitason mukaan
dmesg-t	Helppolukuiset aikaleimat
dmesg-level	Suodata tietyn tason mukaan
hostname	Näytä tai aseta järjestelmän isäntänimi
hostname-f	Näytä FQDN
hostname-i	Näytä isännän IP-osoite
hostnamectl	Hallitse järjestelmän isäntänimeä
date	Näytä tai aseta päivämäärä ja aika
date-plusf	Muotoile päivämäärä ISO 8601
date-pluss	Unix-aikaleima
date-u	Näytä UTC-aika
date-d	Jäsennä päivämäärämerkkijono
cal	Näytä kalenteri
cal-3	Näytä edellinen/nykyinen/seuraava kuukausi
cal-y	Näytä koko vuosi
cal-j	Juliaaniset päivämäärät
which	Paikanna komento PATHista
which-a	Näytä kaikki osumat PATHissa
whereis	Paikanna binääri, lähde ja manuaalisivut
whereis-b	Paikanna vain binääri
whereis-m	Paikanna vain manuaali
whatis	Näytä yhden rivin manuaalisivun kuvaukset
man	Näytä manuaalisivuja
man-k	Etsi manuaalisivuja avainsanalla
man-f	Etsi manuaalisivuja nimellä
man-w	Näytä polku manuaalisivulle
man-5	Lue manuaalisivun osio 5
apropos	Etsi manuaalisivujen nimiä ja kuvauksia
type	Kuvaa miten komento tulkitaan
env	Näytä tai muuta ympäristömuuttujia
env-i	Tyhjennä ympäristö
env-u	Poista muuttuja
printenv	Tulosta ympäristömuuttujat
pwd	Tulosta työhakemisto (nykyinen sijainti)
tty	Tulosta päätteen nimi
sleep	Viivästä suoritusta määritetyllä ajalla
sleep-inf	Nuku ikuisesti
yes	Toista merkkijonoa
yes-text	Tulosta mukautettu teksti
clear	Tyhjennä päätenäyttö
reset	Palauta päätteen asetukset
watch	Suorita ohjelma säännöllisesti
watch-n	Aseta päivitysväli
watch-d	Korosta muutokset
watch-g	Poistu kun tuloste muuttuu
watch-t	Piilota otsake
crontab	Ajoita säännöllisiä komentoja
crontab-e	Muokkaa crontabia
crontab-l	Listaa crontab-merkinnät
crontab-r	Poista crontab
at	Ajoita komentoja myöhempää suoritusta varten
at-now	Ajoita välittömästi
atq	Listaa odottavat at-työt
atrm	Poista at-työ
time	Mittaa komennon suoritusaika
time-v	Yksityiskohtainen ajoitustuloste
nproc	Tulosta suoritinyksiköiden määrä
arch	Tulosta koneen arkkitehtuuri
getconf	Hae järjestelmän määritysarvot
locale	Hae lokalisointitietoja
locale-a	Listaa saatavilla olevat lokalisoinnit
localectl	Hallitse järjestelmän lokalisointia
timedatectl	Hallitse järjestelmän aikaa ja päivämäärää
timedatectl-list-timezones	Listaa aikavyöhykkeet
logname	Tulosta käyttäjän kirjautumisnimi
groups	Tulosta ryhmäjäsenyydet
id	Tulosta käyttäjän ja ryhmän identiteetti
id-u	Tulosta vain käyttäjä-ID
id-g	Tulosta vain ryhmä-ID
id-un	Tulosta efektiivinen käyttäjänimi
sudo	Suorita komento ylläpitäjänä
sudo-u	Suorita toisena käyttäjänä
sudo-i	Kirjaudu sisään rootina
sudo-s	Kuori rootina
sudo-l	Listaa sallitut komennot
sudo-k	Mitätöi aikaleima
sudo-v	Vahvista sudo-aikaleima
sudo-e	Säilytä ympäristö
su	Kirjaudu sisään toisena käyttäjänä
su-2	Kirjaudu sisään toisena käyttäjänä
su-c	Suorita komento käyttäjänä
useradd	Luo uusi käyttäjätili
useradd-m	Luo kotihakemisto
useradd-s	Aseta login Shell
useradd-g	Aseta lisäryhmät
